IL%,LCD (Å)-C,PLD (Å)-C,LCD/PLD,Density (g/cm3)-C,Porosity-C,PV (cm3/g)-C,C%-C,H%-C,N%-C,O%-C,Metal%-C,Halogen%-C,Metalloids%-C,Ametal%-C,TDU-C,DU-C,MP-C,OtoM-C,CO2 Qst ,CO2 Uptake (mol/kg)-C-1 bar-Single
9.84,8.80291,4.09042,2.15207973753307,1.21434,0.5555,0.45745,48.4210526315789,33.1578947368421,1.05263157894737,12.6315789473684,2.10526315789474,2.10526315789474,0.526315789473684,0,364,0.659420289855073,0.0434782608695652,6,31.6958391831,3.172818333
8.04,6.77245,2.59556,2.60924424786944,1.92695,0.43608,0.226306,32.9113924050633,19.620253164557,11.3924050632911,27.8481012658228,5.06329113924051,2.53164556962025,0.632911392405063,0,439,0.703525641025641,0.153846153846154,5.5,56.2977486227,2.3948255638
2.56,12.6138,8.71559,1.44726863012143,0.599007,0.75196,1.25535,43.6830835117773,39.2933618843683,7.06638115631692,6.85224839400428,2.56959314775161,0.428265524625268,0.107066381156317,0,450,0.551470588235294,0.0588235294117647,2.66666666666667,16.6050013628,1.244495223
2.1,12.48057,8.64841,1.44310572694865,0.656004,0.75432,1.14987,50.1079913606911,32.7213822894168,2.80777537796976,11.2311015118791,2.59179265658747,0.431965442764579,0.107991360691145,0,313.5,0.675646551724138,0.0517241379310345,4.33333333333333,23.0699529004,2.2006870523
2.3,13.59745,8.32236,1.63384544768551,0.763655,0.72488,0.949225,48.6352357320099,31.6377171215881,3.2258064516129,12.9032258064516,2.97766749379653,0.496277915632754,0.124069478908189,0,265.5,0.677295918367347,0.0612244897959184,4.33333333333333,27.361944656,2.715141849
5.91,9.74824,6.48486,1.50323060174005,1.04929,0.6042,0.575819,34.2105263157895,25.9868421052632,21.7105263157895,11.1842105263158,5.26315789473684,1.31578947368421,0.328947368421053,0,517,0.621394230769231,0.153846153846154,2.125,20.5686848642,0.8875374738
6.45,7.21328,6.14257,1.17430977587557,1.01736,0.579,0.569119,39.3063583815029,34.393063583815,14.4508670520231,9.2485549132948,1.15606936416185,1.15606936416185,0.289017341040462,0,613,0.563419117647059,0.0294117647058824,8,28.4664286885,3.3888469787
8.42,5.44145,2.1124,2.57595625828442,2.32223,0.4005,0.172463,40.9836065573771,36.8852459016393,1.63934426229508,0,3.27868852459016,13.1147540983607,0.819672131147541,3.27868852459016,441,0.55125,0.08,0,32.161208566,0.2614837375
6.43,9.59448,6.66502,1.43952756330814,1.43426,0.54022,0.376654,43.6974789915966,31.5126050420168,5.88235294117647,10.0840336134454,3.36134453781513,5.04201680672269,0.420168067226891,0,533,0.640625,0.0769230769230769,3,20.7216564983,0.9210374617
6.43,10.18511,6.24105,1.63195455892839,1.41145,0.54514,0.386226,43.6974789915966,31.5126050420168,5.88235294117647,10.0840336134454,3.36134453781513,5.04201680672269,0.420168067226891,0,533,0.640625,0.0769230769230769,3,22.9107065271,1.0570556673
6.43,8.09891,5.10548,1.5863170553993,1.51869,0.51064,0.336238,43.6974789915966,31.5126050420168,5.88235294117647,10.0840336134454,3.36134453781513,5.04201680672269,0.420168067226891,0,533,0.640625,0.0769230769230769,3,26.3215609907,1.2324564071
6.43,9.59312,9.37122,1.02367888065801,1.40332,0.54724,0.389962,43.6974789915966,31.5126050420168,5.88235294117647,10.0840336134454,3.36134453781513,5.04201680672269,0.420168067226891,0,400,0.641025641025641,0.0769230769230769,3,23.5732396685,0.9510351588
4.17,9.59181,8.82552,1.08682661191635,1.32541,0.64948,0.490021,44.2396313364055,30.184331797235,7.83410138248848,11.0599078341014,3.68663594470046,2.76497695852535,0.230414746543779,0,507,0.66015625,0.0833333333333333,3,51.3273002851,6.2723978925
14.74,4.50077,2.98114,1.50974794877128,1.99097,0.43786,0.219923,24.4897959183673,31.6326530612245,26.530612244898,0,12.2448979591837,4.08163265306122,1.02040816326531,0,273,0.35546875,0.5,0,36.0817222262,0.1436024773
14.74,6.53748,2.71605,2.4069807256862,1.76878,0.4957,0.28025,24.4897959183673,31.6326530612245,26.530612244898,0,12.2448979591837,4.08163265306122,1.02040816326531,0,273,0.35546875,0.5,0,37.5932221325,0.2261394139
4.95,8.54414,6.76238,1.26348120040577,0.596443,0.77324,1.29642,47.0588235294118,29.6791443850267,6.95187165775401,12.8342245989305,2.13903743315508,1.06951871657754,0.267379679144385,0,242,0.6875,0.0454545454545455,6,45.7565866639,5.1619791063
4.86,8.54927,6.75793,1.26507229284707,0.609581,0.77266,1.26753,47.0588235294118,29.6791443850267,6.95187165775401,12.8342245989305,2.13903743315508,1.06951871657754,0.267379679144385,0,242,0.6875,0.0454545454545455,6,30.8129997041,3.6062294838
4.81,8.53138,6.74643,1.26457696885612,0.620746,0.77198,1.24363,47.0588235294118,29.6791443850267,6.95187165775401,12.8342245989305,2.13903743315508,1.06951871657754,0.267379679144385,0,242,0.6875,0.0454545454545455,6,19.485059164,1.9980167809
1.99,6.93569,6.09475,1.13797776775093,1.48873,0.4425,0.297232,39.5698924731183,24.8387096774194,15.6989247311828,15.4838709677419,3.87096774193548,0.43010752688172,0.10752688172043,0,1011,0.686820652173913,0.0978260869565217,4,21.079590661,1.8427944083
