LCD (Å)-P,PLD (Å)-P,LCD/PLD,Density (g/cm3)-P,Porosity-P,PV (cm3/g)-P,C%-P,H%-P,N%-P,O%-P,Metal%-P,Halogen%-P,Metalloids%-P,Ametal%-P,TDU-P,DU-P,MP-P,OtoM-P,CO2_Qst,CO2 Uptake (mol/kg)-P-1 bar-Single
9.3564,7.82045,1.19640174158776,0.520844,0.83104306108,1.59557,39.0243902439024,14.6341463414634,0,34.1463414634146,7.31707317073171,0,0,4.8780487804878,209,0.81640625,0.1875,4.66666666666667,14.9364809743,2.0038848145
25.6667,17.10627,1.50042645182147,0.402566,0.83730104906,2.07991,43.75,27.0833333333333,6.25,16.6666666666667,6.25,0,0,0,2785,0.690724206349206,0.142857142857143,2.66666666666667,12.7304249638,1.2545970734
7.80698,6.87856,1.13497301760834,0.851795,0.65102010414,0.764292,54.5454545454545,30.3030303030303,3.03030303030303,9.09090909090909,3.03030303030303,0,0,0,625,0.72337962962963,0.0555555555555556,3,27.6604120639,2.164256274
8.81317,6.81342,1.29350164821778,1.05968,0.6215394088,0.586535,52.5,30,0,15,2.5,0,0,0,361,0.716269841269841,0.0476190476190476,6,36.9261646182,4.7433833458
8.35647,6.53908,1.27792747603638,1.04077,0.61451744265,0.590445,52.5,30,0,15,2.5,0,0,0,361,0.716269841269841,0.0476190476190476,6,43.6662050339,5.5512557991
8.82986,6.86802,1.28564855664369,1.02206,0.62474132942,0.611257,52.5,30,0,15,2.5,0,0,0,361,0.716269841269841,0.0476190476190476,6,49.1828680161,5.4091802879
8.80291,6.74437,1.30522346787024,1.09481,0.61617767977,0.562817,52.5,30,0,15,2.5,0,0,0,361,0.716269841269841,0.0476190476190476,6,25.8645755187,4.0755930553
6.77245,6.24303,1.08480177093495,1.77195,0.51171966855,0.288789,34.375,12.5,12.5,34.375,6.25,0,0,0,433,0.820075757575758,0.181818181818182,5.5,45.0100815497,4.6053072681
12.6138,8.71559,1.44726863012143,0.583675,0.75758096625,1.29795,44.2477876106195,38.9380530973451,7.07964601769912,7.07964601769912,2.65486725663717,0,0,0,449,0.56125,0.06,2.66666666666667,16.1515141893,1.2174177533
12.48057,8.64841,1.44310572694865,0.64221,0.7649812857,1.19117,50.8928571428571,32.1428571428571,2.67857142857143,11.6071428571429,2.67857142857143,0,0,0,313,0.68640350877193,0.0526315789473684,4.33333333333333,22.4802562762,2.1563035345
13.59843,8.3265,1.63315078364259,0.746106,0.73367960457,0.983345,49.4845360824742,30.9278350515464,3.09278350515464,13.4020618556701,3.09278350515464,0,0,0,265,0.690104166666667,0.0625,4.33333333333333,27.2038389471,2.6437492993
9.74824,6.48486,1.50323060174005,0.987316,0.640319842536,0.648546,35.036496350365,23.3576642335766,23.3576642335766,12.4087591240876,5.83941605839416,0,0,0,513,0.66796875,0.166666666666667,2.125,12.9779758845,0.6233929708
